CNPJ;Farmácia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
3,34383E+13;DROGARIAS PACHECO S/A;RUA DOS TUPIS, Nº 256;CENTRO;Belo Horizonte;MG;-19,9199673;-43,9457542;RUA DOS TUPIS, Nº 256, CENTRO, Belo Horizonte, MG, Brasil
3,34383E+13;DROGARIAS PACHECO S/A;RUA MATO GROSSO, 417,  LJ05;BARRO PRETO;Belo Horizonte;MG;-19,9237781;-43,9481474;RUA MATO GROSSO, 417,  LJ05, BARRO PRETO, Belo Horizonte, MG, Brasil
3,34383E+13;DROGARIAS PACHECO S/A;SAO PAULO;CENTRO;Belo Horizonte;MG;-19,9137377;-43,9385142;SAO PAULO, CENTRO, Belo Horizonte, MG, Brasil
3,34383E+13;DROGARIAS PACHECO S/A;SILVA LOBO;NOVA GRANADA;Belo Horizonte;MG;-19,9362163;-43,9705523;SILVA LOBO, NOVA GRANADA, Belo Horizonte, MG, Brasil
3,34383E+13;DROGARIAS PACHECO S/A;SINFRONIO BROCHADO;BARREIRO;Belo Horizonte;MG;-19,9754012;-44,0134937;SINFRONIO BROCHADO, BARREIRO, Belo Horizonte, MG, Brasil
3,34383E+13;DROGARIAS PACHECO S/A;URSULA PAULINO;BETANIA;Belo Horizonte;MG;-19,9597776;-43,9893759;URSULA PAULINO, BETANIA, Belo Horizonte, MG, Brasil
3,33255E+12;DROGARTE - DROGARIA E PERFUMARIA LTDA - ME;WALDOMIRO LOBO;GUARANI;Belo Horizonte;MG;-19,8458758;-43,9297969;WALDOMIRO LOBO, GUARANI, Belo Horizonte, MG, Brasil
1,66764E+13;DROGASERRA LTDA - ME;JOAQUIM ABEL COELHO;MANTIQUEIRA;Belo Horizonte;MG;-19,7837407;-43,9823749;JOAQUIM ABEL COELHO, MANTIQUEIRA, Belo Horizonte, MG, Brasil
6,15859E+13;DROGASIL S.A.;IZABEL BUENO;SANTA ROSA;Belo Horizonte;MG;-19,8684355;-43,9503859;IZABEL BUENO, SANTA ROSA, Belo Horizonte, MG, Brasil
2,07848E+13;DROGAVALE LTDA ME;DAS PERPETUAS;LINDEIA (BARREIRO);Belo Horizonte;MG;-19,9786436;-44,0485452;DAS PERPETUAS, LINDEIA (BARREIRO), Belo Horizonte, MG, Brasil
1,74791E+13;DROGAVITA LTDA;FRANCISCO BICALHO;MONSENHOR MESSIAS;Belo Horizonte;MG;-19,9080064;-43,9786315;FRANCISCO BICALHO, MONSENHOR MESSIAS, Belo Horizonte, MG, Brasil
4,0006E+12;DROGAWILMA LTDA;GALENA;COLEGIO BATISTA;Belo Horizonte;MG;-19,9052555;-43,9396169;GALENA, COLEGIO BATISTA, Belo Horizonte, MG, Brasil
1,12154E+11;DROGAZILLE LTDA;FLOR D'AGUA;JARDIM ALVORADA;Belo Horizonte;MG;-19,8932796;-43,9897025;FLOR D'AGUA, JARDIM ALVORADA, Belo Horizonte, MG, Brasil
2,57344E+13;DROMAGUI DROGARIA E PERFUMARIA MAGUI LTDA;VEREADOR CICERO ILDEFONSO;JOAO PINHEIRO;Belo Horizonte;MG;-19,9258261;-43,9974802;VEREADOR CICERO ILDEFONSO, JOAO PINHEIRO, Belo Horizonte, MG, Brasil
1,3144E+13;DRUGSTORE SARANDI LTDA;OSORIO DUQUE ESTRADA;CAMPO ALEGRE;Belo Horizonte;MG;-19,8289187;-43,9449163;OSORIO DUQUE ESTRADA, CAMPO ALEGRE, Belo Horizonte, MG, Brasil
6,62625E+12;EMPREENDIMENTOS PAGUE MENOS S/A;ABILIO MACHADO;GLORIA;Belo Horizonte;MG;-19,9084384;-43,9986218;ABILIO MACHADO, GLORIA, Belo Horizonte, MG, Brasil
6,62625E+12;EMPREENDIMENTOS PAGUE MENOS S/A;DOUTOR CRISTIANO GUIMARAES;PLANALTO;Belo Horizonte;MG;-19,8347168;-43,9557697;DOUTOR CRISTIANO GUIMARAES, PLANALTO, Belo Horizonte, MG, Brasil
6,62625E+12;EMPREENDIMENTOS PAGUE MENOS S/A;MATERLANDIA;SANTA INES;Belo Horizonte;MG;-19,8831257;-43,9110015;MATERLANDIA, SANTA INES, Belo Horizonte, MG, Brasil
6,62625E+12;EMPREENDIMENTOS PAGUE MENOS S/A;PADRE ROLIM;SANTA EFIGENIA;Belo Horizonte;MG;-19,9276654;-43,9251428;PADRE ROLIM, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
6,62625E+12;EMPREENDIMENTOS PAGUE MENOS S/A;RUA PARA DE MINAS, 270;PADRE EUSTAQUIO;Belo Horizonte;MG;-19,9145408;-43,9862838;RUA PARA DE MINAS, 270, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil
5,23137E+12;EXPERT DROGARIA E PERFUMARIA LTDA;ALVARES MACIEL;SANTA EFIGENIA;Belo Horizonte;MG;-19,9233362;-43,9266485;ALVARES MACIEL, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
2,22994E+13;FARMACIA E DROGARIA ESTRELA DA MANHA LTDA;AUGUSTO DOS ANJOS;RIO BRANCO;Belo Horizonte;MG;-19,8182833;-43,9854839;AUGUSTO DOS ANJOS, RIO BRANCO, Belo Horizonte, MG, Brasil
9,46952E+12;FARMACIA INOVA LTDA - ME;"CONDE D""EU";VERA CRUZ;Belo Horizonte;MG;-19,9142574;-43,8961135;"CONDE D""EU, VERA CRUZ, Belo Horizonte, MG, Brasil"
1,74688E+13;FARMACIA MORAIS E OLIVEIRA LTDA;PAULO TIMOTEO NASCIMENTO;SANTA CRUZ;Belo Horizonte;MG;-19,879677;-43,9444214;PAULO TIMOTEO NASCIMENTO, SANTA CRUZ, Belo Horizonte, MG, Brasil
1,71985E+13;FARMÁCIA NOSSA SENHORA APARECIDA LTDA;PARA DE MINAS;PADRE EUSTAQUIO;Belo Horizonte;MG;-19,9142953;-43,9886957;PARA DE MINAS, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil
2,15759E+13;FARMACIA SHALOOM LTDA;SAO GERALDO;CABANA DO PAI TOMAS;Belo Horizonte;MG;-19,9489786;-43,9992343;SAO GERALDO, CABANA DO PAI TOMAS, Belo Horizonte, MG, Brasil
2,15759E+13;FARMACIA SHALOOM LTDA - EPP;INDEPENDENCIA;JARDINOPOLIS;Belo Horizonte;MG;-19,9429554;-44,0020914;INDEPENDENCIA, JARDINOPOLIS, Belo Horizonte, MG, Brasil
2,11737E+13;FARMACIA TUPI LTDA ME;EDGARD TORRES;MINASCAIXA;Belo Horizonte;MG;-19,8093243;-43,9558795;EDGARD TORRES, MINASCAIXA, Belo Horizonte, MG, Brasil
1,79766E+13;FARMACIA VIEGAS LTDA;MAJOR DELFINO DE PAULA;SAO FRANCISCO;Belo Horizonte;MG;-19,8793223;-43,9577846;MAJOR DELFINO DE PAULA, SAO FRANCISCO, Belo Horizonte, MG, Brasil
3,85808E+12;FARMACIA WEBFARMA LTDA;FRANCISCO BICALHO;CAICARA;Belo Horizonte;MG;-19,9080208;-43,9757547;FRANCISCO BICALHO, CAICARA, Belo Horizonte, MG, Brasil
3,85833E+13;FARMAVINTE LTDA - ME;DOM JOAO VI;PALMEIRAS;Belo Horizonte;MG;-19,9734711;-43,9781957;DOM JOAO VI, PALMEIRAS, Belo Horizonte, MG, Brasil
1,70817E+13;FARMAVIT LTDA - EPP;ANAPURUS;SAO GABRIEL;Belo Horizonte;MG;-19,855913;-43,9185804;ANAPURUS, SAO GABRIEL, Belo Horizonte, MG, Brasil
2,3329E+13;FELIX PHARMA DROGARIA LTDA - ME;MARCELINO FERREIRA;SANTA INES;Belo Horizonte;MG;-19,8807187;-43,9125808;MARCELINO FERREIRA, SANTA INES, Belo Horizonte, MG, Brasil
2,08386E+13;IMG IRMAOS MOREIRA GUIMARAES LTDA - ME;MAGENTA;VITORIA;Belo Horizonte;MG;-19,8589858;-43,8927775;MAGENTA, VITORIA, Belo Horizonte, MG, Brasil
4,18487E+13;JOSE FELIX HORTA ME;LADAINHA,121, LOJA A;PRIMEIRO DE MAIO;Belo Horizonte;MG;-19,8609747;-43,9291079;LADAINHA,121, LOJA A, PRIMEIRO DE MAIO, Belo Horizonte, MG, Brasil
3,20888E+12;LUZA FARMACIA E PERFUMARIA LTDA - ME;ITAITE;SAO GERALDO;Belo Horizonte;MG;-19,8988686;-43,9031278;ITAITE, SAO GERALDO, Belo Horizonte, MG, Brasil
1,50865E+13;M.X.M. DRUGSTORE E PERFUMARIA LTDA - ME;Avenida MAGENTA 581;VITORIA;Belo Horizonte;MG;-19,860128;-43,8912335;Avenida MAGENTA 581, VITORIA, Belo Horizonte, MG, Brasil
4,3426E+12;MEDFÁCIL FARMACÊUTICA LTDA.;DOMINGOS VIEIRA;SANTA EFIGENIA;Belo Horizonte;MG;-19,9227465;-43,9237406;DOMINGOS VIEIRA, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
7,95938E+12;MGU COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA;SAO PAULO;CENTRO;Belo Horizonte;MG;-19,9137377;-43,9385142;SAO PAULO, CENTRO, Belo Horizonte, MG, Brasil
8,66835E+12;NANGIMO & NANGIMO DROGARIA LTDA;JULITA NOGUEIRA SOARES;SANTA TEREZINHA;Belo Horizonte;MG;-19,8707202;-44,0083552;JULITA NOGUEIRA SOARES, SANTA TEREZINHA, Belo Horizonte, MG, Brasil
1,28424E+13;NILON MACEDO DROGARIA LTDA;PADRE JOSE MAURICIO;VISTA ALEGRE;Belo Horizonte;MG;-19,9520894;-43,9926409;PADRE JOSE MAURICIO, VISTA ALEGRE, Belo Horizonte, MG, Brasil
6,52855E+13;NÚCLEO FARMACÊUTICO LTDA;GUARAPARI;SANTA AMELIA;Belo Horizonte;MG;-19,8405072;-43,9778788;GUARAPARI, SANTA AMELIA, Belo Horizonte, MG, Brasil
1,67553E+13;ORGANIZACAO EXITO KIFARMA LTDA - ME;IZABEL BUENO;INDAIA;Belo Horizonte;MG;-19,8692914;-43,9497146;IZABEL BUENO, INDAIA, Belo Horizonte, MG, Brasil
1,7198E+13;R LOBATO & CIA LTDA;NILO PECANHA;SAGRADA FAMILIA;Belo Horizonte;MG;-19,9061272;-43,9245812;NILO PECANHA, SAGRADA FAMILIA, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;ANDRE CAVALCANTI;GUTIERREZ;Belo Horizonte;MG;-19,9328128;-43,9576225;ANDRE CAVALCANTI, GUTIERREZ, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;CLAUDIO MANOEL;FUNCIONARIOS;Belo Horizonte;MG;-19,9350048;-43,9270889;CLAUDIO MANOEL, FUNCIONARIOS, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;CONCEICAO DO MATO DENTRO;OURO PRETO;Belo Horizonte;MG;-19,8710695;-43,9819295;CONCEICAO DO MATO DENTRO, OURO PRETO, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;DOS GOITACAZES;CENTRO;Belo Horizonte;MG;-19,9234292;-43,9374195;DOS GOITACAZES, CENTRO, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;GRAO MOGOL;CARMO;Belo Horizonte;MG;-19,944386;-43,9331149;GRAO MOGOL, CARMO, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;ILACIR PEREIRA LIMA;SILVEIRA;Belo Horizonte;MG;-19,8884578;-43,9304315;ILACIR PEREIRA LIMA, SILVEIRA, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;ITAJUBA;FLORESTA;Belo Horizonte;MG;-19,915091;-43,9306323;ITAJUBA, FLORESTA, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;KEPLER;SANTA LUCIA;Belo Horizonte;MG;-19,9637996;-43,949628;KEPLER, SANTA LUCIA, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;PADRE EUSTAQUIO;PADRE EUSTAQUIO;Belo Horizonte;MG;-19,9150018;-43,9788458;PADRE EUSTAQUIO, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;PORTUGAL;JARDIM ATLANTICO;Belo Horizonte;MG;-19,8395941;-43,9909237;PORTUGAL, JARDIM ATLANTICO, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;PROFESSOR MARIO WERNECK;ESTORIL;Belo Horizonte;MG;-19,9668128;-43,9591859;PROFESSOR MARIO WERNECK, ESTORIL, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;PROFESSOR MARIO WERNECK;BURITIS;Belo Horizonte;MG;-19,9708;-43,9654204;PROFESSOR MARIO WERNECK, BURITIS, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;PRUDENTE DE MORAIS;CIDADE JARDIM;Belo Horizonte;MG;-19,937306;-43,9472329;PRUDENTE DE MORAIS, CIDADE JARDIM, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;RODOVIA BR-356 3049, 3049 - LJ.MA27/28;BELVEDERE;Belo Horizonte;MG;-19,9802752;-43,9465701;RODOVIA BR-356 3049, 3049 - LJ.MA27/28, BELVEDERE, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;RUA ANTONIO DE ALBUQUERQUE, 845;FUNCIONARIOS;Belo Horizonte;MG;-19,9325162;-43,9273183;RUA ANTONIO DE ALBUQUERQUE, 845, FUNCIONARIOS, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;RUA CURITIBA, 1923;LOURDES;Belo Horizonte;MG;-19,9296789;-43,9441009;RUA CURITIBA, 1923, LOURDES, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;RUA DA BAHIA, 1130;CENTRO;Belo Horizonte;MG;-19,9247361;-43,9373966;RUA DA BAHIA, 1130, CENTRO, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;RUA JOAO LUCIO BRANDAO, 10;PRADO;Belo Horizonte;MG;-19,9206269;-43,9573273;RUA JOAO LUCIO BRANDAO, 10, PRADO, Belo Horizonte, MG, Brasil
6,15859E+13;RAIA DROGASIL S/A;RUA PITANGUI, 2425;SAGRADA FAMILIA;Belo Horizonte;MG;-19,9070881;-43,9228024;RUA PITANGUI, 2425, SAGRADA FAMILIA, Belo Horizonte, MG, Brasil
2,5202E+13;SANDRO DROGARIA LTDA-ME;ERICO VERISSIMO;CANDELARIA;Belo Horizonte;MG;-19,8152539;-43,9696626;ERICO VERISSIMO, CANDELARIA, Belo Horizonte, MG, Brasil
1,73283E+13;SINERGIA COMERCIO DE MEDICAMENTOS E PRODUTOS NUTRICIONAIS E DROGARIA LTDA - ME;DOS GEOLOGOS;ALIPIO DE MELO;Belo Horizonte;MG;-19,8951602;-44,0001618;DOS GEOLOGOS, ALIPIO DE MELO, Belo Horizonte, MG, Brasil
2,39303E+13;SIOFARMA LTDA - ME;VOLTS;PRIMEIRO DE MAIO;Belo Horizonte;MG;-19,862292;-43,9293975;VOLTS, PRIMEIRO DE MAIO, Belo Horizonte, MG, Brasil
8,99122E+12;SMR MEDICAMENTOS E PERFUMARIA LTDA;URSULA PAULINO;ESTRELA DO ORIENTE;Belo Horizonte;MG;-19,9597776;-43,9893759;URSULA PAULINO, ESTRELA DO ORIENTE, Belo Horizonte, MG, Brasil
8,6383E+13;SOCIEDADE COMERCIAL SANTA HELENA LTDA;RUA  BELMIRO BRAGA Nº 520;CAIÇARA;Belo Horizonte;MG;-19,8997005;-43,9652556;RUA  BELMIRO BRAGA Nº 520, CAIÇARA, Belo Horizonte, MG, Brasil
2,5839E+13;STATUS DROGARIA E PERFUMARIA LTDA;FLOR-DE-PITANGUEIRA;MINEIRAO;Belo Horizonte;MG;-20,0228302;-44,0291332;FLOR-DE-PITANGUEIRA, MINEIRAO, Belo Horizonte, MG, Brasil
2,02514E+13;SUL DROGAS LTDA;SILVA LOBO;ALTO BARROCA;Belo Horizonte;MG;-19,933732;-43,9717577;SILVA LOBO, ALTO BARROCA, Belo Horizonte, MG, Brasil
5,38854E+12;SUPREMA FORMULA FARMACIA DE MANIPULACAO LTDA - ME;BARAO DE COROMANDEL;BARREIRO;Belo Horizonte;MG;-19,9755422;-44,0189986;BARAO DE COROMANDEL, BARREIRO, Belo Horizonte, MG, Brasil
1,97375E+13;T & M DROGARIA E PERFUMARIA LTDA - ME;PROFESSORA GABRIELA VARELA;JARDIM GUANABARA;Belo Horizonte;MG;-19,8288016;-43,9322124;PROFESSORA GABRIELA VARELA, JARDIM GUANABARA, Belo Horizonte, MG, Brasil
1,84013E+13;THYAGO FERREIRA CUNHA - DROGARIA - ME;FLOR-DE-PITANGUEIRA;MINEIRAO;Belo Horizonte;MG;-20,0228302;-44,0291332;FLOR-DE-PITANGUEIRA, MINEIRAO, Belo Horizonte, MG, Brasil
2,11451E+13;UAI FARMA LTDA - ME;EXPEDITO FLAVIANO DA COSTA;LAGOA;Belo Horizonte;MG;-19,8107588;-44,0018822;EXPEDITO FLAVIANO DA COSTA, LAGOA, Belo Horizonte, MG, Brasil
1,99337E+13;UPA FARMA LTDA - ME;RUA AURELIO LOPES, 133 - LOJA A;DIAMANTE (BARREIRO);Belo Horizonte;MG;-19,9924221;-44,0192116;RUA AURELIO LOPES, 133 - LOJA A, DIAMANTE (BARREIRO), Belo Horizonte, MG, Brasil
1,06371E+13;VILELA E MENEZES DROGARIA E PERFUMARIA LTDA - ME;PINTOR RENATO LIMA;TUPI B;Belo Horizonte;MG;-19,8397421;-43,9121549;PINTOR RENATO LIMA, TUPI B, Belo Horizonte, MG, Brasil
6,52085E+13;VIP FARMA LTDA;ANTONIO JOSE DOS SANTOS;CEU AZUL;Belo Horizonte;MG;-19,8227499;-44,0039799;ANTONIO JOSE DOS SANTOS, CEU AZUL, Belo Horizonte, MG, Brasil
5,10187E+12;W FROES COMERCIAL LTDA - ME;SILVA ALVARENGA;SAO GERALDO;Belo Horizonte;MG;-19,899898;-43,8978081;SILVA ALVARENGA, SAO GERALDO, Belo Horizonte, MG, Brasil
9,43731E+12;WD MEDICAMENTOS LTDA;JULIO MESQUITA;ITAIPU (BARREIRO);Belo Horizonte;MG;-19,9970869;-44,0507725;JULIO MESQUITA, ITAIPU (BARREIRO), Belo Horizonte, MG, Brasil
;DROGARIA ARAUJO S A;AVENIDA DO CONTORNO, 6714;LOURDES;Belo Horizonte;MG;-19,9391827;-43,9416411;AVENIDA DO CONTORNO, 6714, LOURDES, Belo Horizonte, MG, Brasil
